"date","state","confirmed","deaths","tests","positives","recovered","hosp","icu","vent"
2020-02-07,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-07,"New South Wales",4,0,0,0,0,0,0,0
2020-02-07,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-07,"Queensland",5,0,0,0,0,0,0,0
2020-02-07,"South Australia",2,0,0,0,0,0,0,0
2020-02-07,"Tasmania",0,0,0,0,0,0,0,0
2020-02-07,"Victoria",4,0,0,0,0,0,0,0
2020-02-07,"Western Australia",0,0,0,0,0,0,0,0
2020-02-08,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-08,"New South Wales",4,0,0,0,0,0,0,0
2020-02-08,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-08,"Queensland",5,0,0,0,0,0,0,0
2020-02-08,"South Australia",2,0,0,0,0,0,0,0
2020-02-08,"Tasmania",0,0,0,0,0,0,0,0
2020-02-08,"Victoria",4,0,0,0,0,0,0,0
2020-02-08,"Western Australia",0,0,0,0,0,0,0,0
2020-02-09,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-09,"New South Wales",4,0,0,0,0,0,0,0
2020-02-09,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-09,"Queensland",5,0,0,0,0,0,0,0
2020-02-09,"South Australia",2,0,0,0,0,0,0,0
2020-02-09,"Tasmania",0,0,0,0,0,0,0,0
2020-02-09,"Victoria",4,0,0,0,0,0,0,0
2020-02-09,"Western Australia",0,0,0,0,0,0,0,0
2020-02-10,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-10,"New South Wales",4,0,0,0,0,0,0,0
2020-02-10,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-10,"Queensland",5,0,0,0,0,0,0,0
2020-02-10,"South Australia",2,0,0,0,0,0,0,0
2020-02-10,"Tasmania",0,0,0,0,0,0,0,0
2020-02-10,"Victoria",4,0,0,0,0,0,0,0
2020-02-10,"Western Australia",0,0,0,0,0,0,0,0
2020-02-11,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-11,"New South Wales",4,0,0,0,0,0,0,0
2020-02-11,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-11,"Queensland",5,0,0,0,0,0,0,0
2020-02-11,"South Australia",2,0,0,0,0,0,0,0
2020-02-11,"Tasmania",0,0,0,0,0,0,0,0
2020-02-11,"Victoria",4,0,0,0,0,0,0,0
2020-02-11,"Western Australia",0,0,0,0,0,0,0,0
2020-02-12,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-12,"New South Wales",4,0,0,0,0,0,0,0
2020-02-12,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-12,"Queensland",5,0,0,0,0,0,0,0
2020-02-12,"South Australia",2,0,0,0,0,0,0,0
2020-02-12,"Tasmania",0,0,0,0,0,0,0,0
2020-02-12,"Victoria",4,0,0,0,0,0,0,0
2020-02-12,"Western Australia",0,0,0,0,0,0,0,0
2020-02-13,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-13,"New South Wales",4,0,0,0,0,0,0,0
2020-02-13,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-13,"Queensland",5,0,0,0,0,0,0,0
2020-02-13,"South Australia",2,0,0,0,0,0,0,0
2020-02-13,"Tasmania",0,0,0,0,0,0,0,0
2020-02-13,"Victoria",4,0,0,0,0,0,0,0
2020-02-13,"Western Australia",0,0,0,0,0,0,0,0
2020-02-14,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-14,"New South Wales",4,0,0,0,0,0,0,0
2020-02-14,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-14,"Queensland",5,0,0,0,0,0,0,0
2020-02-14,"South Australia",2,0,0,0,0,0,0,0
2020-02-14,"Tasmania",0,0,0,0,0,0,0,0
2020-02-14,"Victoria",4,0,0,0,0,0,0,0
2020-02-14,"Western Australia",0,0,0,0,0,0,0,0
2020-02-15,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-15,"New South Wales",4,0,0,0,0,0,0,0
2020-02-15,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-15,"Queensland",5,0,0,0,0,0,0,0
2020-02-15,"South Australia",2,0,0,0,0,0,0,0
2020-02-15,"Tasmania",0,0,0,0,0,0,0,0
2020-02-15,"Victoria",4,0,0,0,0,0,0,0
2020-02-15,"Western Australia",0,0,0,0,0,0,0,0
2020-02-16,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-16,"New South Wales",4,0,0,0,0,0,0,0
2020-02-16,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-16,"Queensland",5,0,0,0,0,0,0,0
2020-02-16,"South Australia",2,0,0,0,0,0,0,0
2020-02-16,"Tasmania",0,0,0,0,0,0,0,0
2020-02-16,"Victoria",4,0,0,0,0,0,0,0
2020-02-16,"Western Australia",0,0,0,0,0,0,0,0
2020-02-17,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-17,"New South Wales",4,0,0,0,0,0,0,0
2020-02-17,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-17,"Queensland",5,0,0,0,0,0,0,0
2020-02-17,"South Australia",2,0,0,0,0,0,0,0
2020-02-17,"Tasmania",0,0,0,0,0,0,0,0
2020-02-17,"Victoria",4,0,0,0,0,0,0,0
2020-02-17,"Western Australia",0,0,0,0,0,0,0,0
2020-02-18,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-18,"New South Wales",4,0,0,0,0,0,0,0
2020-02-18,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-18,"Queensland",5,0,0,0,0,0,0,0
2020-02-18,"South Australia",2,0,0,0,0,0,0,0
2020-02-18,"Tasmania",0,0,0,0,0,0,0,0
2020-02-18,"Victoria",4,0,0,0,0,0,0,0
2020-02-18,"Western Australia",0,0,0,0,0,0,0,0
2020-02-19,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-19,"New South Wales",4,0,0,0,0,0,0,0
2020-02-19,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-19,"Queensland",5,0,0,0,0,0,0,0
2020-02-19,"South Australia",2,0,0,0,0,0,0,0
2020-02-19,"Tasmania",0,0,0,0,0,0,0,0
2020-02-19,"Victoria",4,0,0,0,0,0,0,0
2020-02-19,"Western Australia",0,0,0,0,0,0,0,0
2020-02-20,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-20,"New South Wales",4,0,0,0,0,0,0,0
2020-02-20,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-20,"Queensland",5,0,0,0,0,0,0,0
2020-02-20,"South Australia",2,0,0,0,0,0,0,0
2020-02-20,"Tasmania",0,0,0,0,0,0,0,0
2020-02-20,"Victoria",4,0,0,0,0,0,0,0
2020-02-20,"Western Australia",0,0,0,0,0,0,0,0
2020-02-21,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-21,"New South Wales",4,0,0,0,0,0,0,0
2020-02-21,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-21,"Queensland",7,0,0,0,0,0,0,0
2020-02-21,"South Australia",3,0,0,0,0,0,0,0
2020-02-21,"Tasmania",0,0,0,0,0,0,0,0
2020-02-21,"Victoria",4,0,0,0,0,0,0,0
2020-02-21,"Western Australia",1,0,0,0,0,0,0,0
2020-02-22,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-22,"New South Wales",4,0,0,0,0,0,0,0
2020-02-22,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-22,"Queensland",8,0,0,0,0,0,0,0
2020-02-22,"South Australia",3,0,0,0,0,0,0,0
2020-02-22,"Tasmania",0,0,0,0,0,0,0,0
2020-02-22,"Victoria",4,0,0,0,0,0,0,0
2020-02-22,"Western Australia",1,0,0,0,0,0,0,0
2020-02-23,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-23,"New South Wales",4,0,0,0,0,0,0,0
2020-02-23,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-23,"Queensland",8,0,0,0,0,0,0,0
2020-02-23,"South Australia",3,0,0,0,0,0,0,0
2020-02-23,"Tasmania",0,0,0,0,0,0,0,0
2020-02-23,"Victoria",4,0,0,0,0,0,0,0
2020-02-23,"Western Australia",1,0,0,0,0,0,0,0
2020-02-24,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-24,"New South Wales",4,0,0,0,0,0,0,0
2020-02-24,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-24,"Queensland",8,0,0,0,0,0,0,0
2020-02-24,"South Australia",3,0,0,0,0,0,0,0
2020-02-24,"Tasmania",0,0,0,0,0,0,0,0
2020-02-24,"Victoria",4,0,0,0,0,0,0,0
2020-02-24,"Western Australia",1,0,0,0,0,0,0,0
2020-02-25,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-25,"New South Wales",4,0,0,0,0,0,0,0
2020-02-25,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-25,"Queensland",8,0,0,0,0,0,0,0
2020-02-25,"South Australia",3,0,0,0,0,0,0,0
2020-02-25,"Tasmania",0,0,0,0,0,0,0,0
2020-02-25,"Victoria",4,0,0,0,0,0,0,0
2020-02-25,"Western Australia",1,0,0,0,0,0,0,0
2020-02-26,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-26,"New South Wales",4,0,0,0,0,0,0,0
2020-02-26,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-26,"Queensland",8,0,0,0,0,0,0,0
2020-02-26,"South Australia",3,0,0,0,0,0,0,0
2020-02-26,"Tasmania",0,0,0,0,0,0,0,0
2020-02-26,"Victoria",4,0,0,0,0,0,0,0
2020-02-26,"Western Australia",1,0,0,0,0,0,0,0
2020-02-27,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-27,"New South Wales",4,0,0,0,0,0,0,0
2020-02-27,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-27,"Queensland",8,0,0,0,0,0,0,0
2020-02-27,"South Australia",3,0,0,0,0,0,0,0
2020-02-27,"Tasmania",0,0,0,0,0,0,0,0
2020-02-27,"Victoria",7,0,0,0,0,0,0,0
2020-02-27,"Western Australia",1,0,0,0,0,0,0,0
2020-02-28,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-28,"New South Wales",4,0,0,0,0,0,0,0
2020-02-28,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-28,"Queensland",9,0,0,0,0,0,0,0
2020-02-28,"South Australia",3,0,0,0,0,0,0,0
2020-02-28,"Tasmania",0,0,0,0,0,0,0,0
2020-02-28,"Victoria",7,0,0,0,0,0,0,0
2020-02-28,"Western Australia",2,0,0,0,0,0,0,0
2020-02-29,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-02-29,"New South Wales",4,0,0,0,0,0,0,0
2020-02-29,"Northern Territory",0,0,0,0,0,0,0,0
2020-02-29,"Queensland",9,0,0,0,0,0,0,0
2020-02-29,"South Australia",3,0,0,0,0,0,0,0
2020-02-29,"Tasmania",0,0,0,0,0,0,0,0
2020-02-29,"Victoria",7,0,0,0,0,0,0,0
2020-02-29,"Western Australia",2,0,0,0,0,0,0,0
2020-03-01,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-01,"New South Wales",5,0,0,0,0,0,0,0
2020-03-01,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-01,"Queensland",9,0,0,0,0,0,0,0
2020-03-01,"South Australia",3,0,0,0,0,0,0,0
2020-03-01,"Tasmania",0,0,0,0,0,0,0,0
2020-03-01,"Victoria",9,0,0,0,0,0,0,0
2020-03-01,"Western Australia",2,1,0,0,0,0,0,0
2020-03-02,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-02,"New South Wales",9,0,0,0,0,0,0,0
2020-03-02,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-02,"Queensland",9,0,0,0,0,0,0,0
2020-03-02,"South Australia",3,0,0,0,0,0,0,0
2020-03-02,"Tasmania",0,0,0,0,0,0,0,0
2020-03-02,"Victoria",9,0,0,0,0,0,0,0
2020-03-02,"Western Australia",2,1,0,0,0,0,0,0
2020-03-03,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-03,"New South Wales",15,1,0,0,0,0,0,0
2020-03-03,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-03,"Queensland",10,0,0,0,0,0,0,0
2020-03-03,"South Australia",3,0,0,0,0,0,0,0
2020-03-03,"Tasmania",1,0,0,0,0,0,0,0
2020-03-03,"Victoria",9,0,0,0,0,0,0,0
2020-03-03,"Western Australia",2,1,0,0,0,0,0,0
2020-03-04,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-04,"New South Wales",22,1,0,0,0,0,0,0
2020-03-04,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-04,"Queensland",11,0,0,0,0,0,0,0
2020-03-04,"South Australia",5,0,0,0,0,0,0,0
2020-03-04,"Tasmania",1,0,0,0,0,0,0,0
2020-03-04,"Victoria",10,0,0,0,0,0,0,0
2020-03-04,"Western Australia",2,1,0,0,0,0,0,0
2020-03-05,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-05,"New South Wales",25,1,0,0,0,0,0,0
2020-03-05,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-05,"Queensland",13,0,0,13,0,0,0,0
2020-03-05,"South Australia",7,0,0,0,0,0,0,0
2020-03-05,"Tasmania",1,0,0,1,0,0,0,0
2020-03-05,"Victoria",10,0,0,10,0,0,0,0
2020-03-05,"Western Australia",3,1,0,0,0,0,0,0
2020-03-06,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-06,"New South Wales",28,1,0,0,0,0,0,0
2020-03-06,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-06,"Queensland",14,0,0,14,0,0,0,0
2020-03-06,"South Australia",7,0,0,7,0,0,0,0
2020-03-06,"Tasmania",1,0,0,1,0,0,0,0
2020-03-06,"Victoria",10,0,0,10,0,0,0,0
2020-03-06,"Western Australia",3,1,0,0,0,0,0,0
2020-03-07,"Australian Capital Territory",0,0,0,0,0,0,0,0
2020-03-07,"New South Wales",36,1,7214,36,0,0,0,0
2020-03-07,"Northern Territory",0,0,0,0,0,0,0,0
2020-03-07,"Queensland",14,0,0,14,0,0,0,0
2020-03-07,"South Australia",7,0,0,7,0,0,0,0
2020-03-07,"Tasmania",2,0,0,2,0,0,0,0
2020-03-07,"Victoria",11,0,0,11,0,0,0,0
2020-03-07,"Western Australia",3,1,0,0,0,0,0,0
