Date,State,confirmed_cum,deaths_cum,tests_cum,positives_cum,recovered_cum,hosp_cum,ICU_cum,vent_cum
07-02-20,NT,0,0,0,0,0,0,0,0
07-02-20,QLD,5,0,0,0,0,0,0,0
07-02-20,SA,2,0,0,0,0,0,0,0
07-02-20,TAS,0,0,0,0,0,0,0,0
07-02-20,VIC,4,0,0,0,0,0,0,0
07-02-20,WA,0,0,0,0,0,0,0,0
08-02-20,ACT,0,0,0,0,0,0,0,0
08-02-20,NSW,4,0,0,0,0,0,0,0
08-02-20,NT,0,0,0,0,0,0,0,0
08-02-20,QLD,5,0,0,0,0,0,0,0
08-02-20,SA,2,0,0,0,0,0,0,0
08-02-20,TAS,0,0,0,0,0,0,0,0
08-02-20,VIC,4,0,0,0,0,0,0,0
08-02-20,WA,0,0,0,0,0,0,0,0
09-02-20,ACT,0,0,0,0,0,0,0,0
09-02-20,NSW,4,0,0,0,0,0,0,0
09-02-20,NT,0,0,0,0,0,0,0,0
09-02-20,QLD,5,0,0,0,0,0,0,0
09-02-20,SA,2,0,0,0,0,0,0,0
09-02-20,TAS,0,0,0,0,0,0,0,0
09-02-20,VIC,4,0,0,0,0,0,0,0
09-02-20,WA,0,0,0,0,0,0,0,0
10-02-20,ACT,0,0,0,0,0,0,0,0
10-02-20,NSW,4,0,0,0,0,0,0,0
10-02-20,NT,0,0,0,0,0,0,0,0
10-02-20,QLD,5,0,0,0,0,0,0,0
10-02-20,SA,2,0,0,0,0,0,0,0
10-02-20,TAS,0,0,0,0,0,0,0,0
10-02-20,VIC,4,0,0,0,0,0,0,0
10-02-20,WA,0,0,0,0,0,0,0,0
11-02-20,ACT,0,0,0,0,0,0,0,0
11-02-20,NSW,4,0,0,0,0,0,0,0
11-02-20,NT,0,0,0,0,0,0,0,0
11-02-20,QLD,5,0,0,0,0,0,0,0
11-02-20,SA,2,0,0,0,0,0,0,0
11-02-20,TAS,0,0,0,0,0,0,0,0
11-02-20,VIC,4,0,0,0,0,0,0,0
11-02-20,WA,0,0,0,0,0,0,0,0
12-02-20,ACT,0,0,0,0,0,0,0,0
12-02-20,NSW,4,0,0,0,0,0,0,0
12-02-20,NT,0,0,0,0,0,0,0,0
12-02-20,QLD,5,0,0,0,0,0,0,0
12-02-20,SA,2,0,0,0,0,0,0,0
12-02-20,TAS,0,0,0,0,0,0,0,0
12-02-20,VIC,4,0,0,0,0,0,0,0
12-02-20,WA,0,0,0,0,0,0,0,0
13-02-20,ACT,0,0,0,0,0,0,0,0
13-02-20,NSW,4,0,0,0,0,0,0,0
13-02-20,NT,0,0,0,0,0,0,0,0
13-02-20,QLD,5,0,0,0,0,0,0,0
13-02-20,SA,2,0,0,0,0,0,0,0
13-02-20,TAS,0,0,0,0,0,0,0,0
13-02-20,VIC,4,0,0,0,0,0,0,0
13-02-20,WA,0,0,0,0,0,0,0,0
14-02-20,ACT,0,0,0,0,0,0,0,0
14-02-20,NSW,4,0,0,0,0,0,0,0
14-02-20,NT,0,0,0,0,0,0,0,0
14-02-20,QLD,5,0,0,0,0,0,0,0
14-02-20,SA,2,0,0,0,0,0,0,0
14-02-20,TAS,0,0,0,0,0,0,0,0
14-02-20,VIC,4,0,0,0,0,0,0,0
14-02-20,WA,0,0,0,0,0,0,0,0
15-02-20,ACT,0,0,0,0,0,0,0,0
15-02-20,NSW,4,0,0,0,0,0,0,0
15-02-20,NT,0,0,0,0,0,0,0,0
15-02-20,QLD,5,0,0,0,0,0,0,0
15-02-20,SA,2,0,0,0,0,0,0,0
15-02-20,TAS,0,0,0,0,0,0,0,0
15-02-20,VIC,4,0,0,0,0,0,0,0
15-02-20,WA,0,0,0,0,0,0,0,0
16-02-20,ACT,0,0,0,0,0,0,0,0
16-02-20,NSW,4,0,0,0,0,0,0,0
16-02-20,NT,0,0,0,0,0,0,0,0
16-02-20,QLD,5,0,0,0,0,0,0,0
16-02-20,SA,2,0,0,0,0,0,0,0
16-02-20,TAS,0,0,0,0,0,0,0,0
16-02-20,VIC,4,0,0,0,0,0,0,0
16-02-20,WA,0,0,0,0,0,0,0,0
17-02-20,ACT,0,0,0,0,0,0,0,0
17-02-20,NSW,4,0,0,0,0,0,0,0
17-02-20,NT,0,0,0,0,0,0,0,0
17-02-20,QLD,5,0,0,0,0,0,0,0
17-02-20,SA,2,0,0,0,0,0,0,0
17-02-20,TAS,0,0,0,0,0,0,0,0
17-02-20,VIC,4,0,0,0,0,0,0,0
17-02-20,WA,0,0,0,0,0,0,0,0
