"date","state","state_abbrev","confirmed","deaths","tests","positives","recovered","hosp","icu","vent"
2020-01-25,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-01-25,"New South Wales","NSW",3,0,0,0,0,0,0,0
2020-01-25,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-01-25,"Queensland","QLD",0,0,0,0,0,0,0,0
2020-01-25,"South Australia","SA",0,0,0,0,0,0,0,0
2020-01-25,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-01-25,"Victoria","VIC",1,0,0,0,0,0,0,0
2020-01-25,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-01-26,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-01-26,"New South Wales","NSW",3,0,0,0,0,0,0,0
2020-01-26,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-01-26,"Queensland","QLD",0,0,0,0,0,0,0,0
2020-01-26,"South Australia","SA",0,0,0,0,0,0,0,0
2020-01-26,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-01-26,"Victoria","VIC",1,0,0,0,0,0,0,0
2020-01-26,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-01-27,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-01-27,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-01-27,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-01-27,"Queensland","QLD",0,0,0,0,0,0,0,0
2020-01-27,"South Australia","SA",0,0,0,0,0,0,0,0
2020-01-27,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-01-27,"Victoria","VIC",1,0,0,0,0,0,0,0
2020-01-27,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-01-28,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-01-28,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-01-28,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-01-28,"Queensland","QLD",0,0,0,0,0,0,0,0
2020-01-28,"South Australia","SA",0,0,0,0,0,0,0,0
2020-01-28,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-01-28,"Victoria","VIC",1,0,0,0,0,0,0,0
2020-01-28,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-01-29,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-01-29,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-01-29,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-01-29,"Queensland","QLD",2,0,0,0,0,0,0,0
2020-01-29,"South Australia","SA",0,0,0,0,0,0,0,0
2020-01-29,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-01-29,"Victoria","VIC",3,0,0,0,0,0,0,0
2020-01-29,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-01-30,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-01-30,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-01-30,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-01-30,"Queensland","QLD",2,0,0,0,0,0,0,0
2020-01-30,"South Australia","SA",0,0,0,0,0,0,0,0
2020-01-30,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-01-30,"Victoria","VIC",3,0,0,0,0,0,0,0
2020-01-30,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-01-31,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-01-31,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-01-31,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-01-31,"Queensland","QLD",2,0,0,0,0,0,0,0
2020-01-31,"South Australia","SA",0,0,0,0,0,0,0,0
2020-01-31,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-01-31,"Victoria","VIC",3,0,0,0,0,0,0,0
2020-01-31,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-02-01,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-02-01,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-02-01,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-02-01,"Queensland","QLD",2,0,0,0,0,0,0,0
2020-02-01,"South Australia","SA",0,0,0,0,0,0,0,0
2020-02-01,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-02-01,"Victoria","VIC",4,0,0,0,0,0,0,0
2020-02-01,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-02-02,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-02-02,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-02-02,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-02-02,"Queensland","QLD",2,0,0,0,0,0,0,0
2020-02-02,"South Australia","SA",2,0,0,0,0,0,0,0
2020-02-02,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-02-02,"Victoria","VIC",4,0,0,0,0,0,0,0
2020-02-02,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-02-03,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-02-03,"New South Wales","NSW",4,0,0,0,0,0,0,0
2020-02-03,"Northern Territory","NT",0,0,0,0,0,0,0,0
2020-02-03,"Queensland","QLD",2,0,0,0,0,0,0,0
2020-02-03,"South Australia","SA",2,0,0,0,0,0,0,0
2020-02-03,"Tasmania","TAS",0,0,0,0,0,0,0,0
2020-02-03,"Victoria","VIC",4,0,0,0,0,0,0,0
2020-02-03,"Western Australia","WA",0,0,0,0,0,0,0,0
2020-02-04,"Australian Capital Territory","ACT",0,0,0,0,0,0,0,0
2020-02-04,"New South Wales","NSW",4,0,0,0,0,0,0,0
