"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","id","state_abbrev"
2020-03-29,3984,17,223126,3515,225,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-30,4250,19,230736,3733,291,0,0,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-03-31,4561,20,242480,4029,345,32,6,0,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-01,4864,21,256477,4298,418,400,76,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-02,5137,25,266410,4554,572,415,81,32,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-03,5362,29,274859,4743,635,410,86,32,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-04,5552,31,284891,4915,686,460,92,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-05,5693,36,297144,5031,788,460,96,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-06,5799,41,302663,5127,849,458,96,35,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-07,5918,49,310700,5226,2549,305,93,37,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-08,6023,51,319368,5309,2815,263,87,36,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-09,6108,52,330134,5375,2989,262,81,36,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-10,6214,55,338346,5456,3142,236,74,38,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-11,6302,57,347847,5525,3266,240,80,38,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-12,6324,60,353941,5534,3338,239,81,35,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-13,6365,62,362136,5562,3494,227,79,46,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-14,6414,63,366493,5592,3598,230,80,44,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-15,6637,64,371377,5806,3688,214,73,42,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-16,6667,64,380003,5822,3747,201,67,38,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-17,6714,66,391530,5859,3819,192,60,38,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-18,6756,69,406510,5894,4163,184,56,34,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-19,6800,71,420996,5928,4230,178,48,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-20,6813,72,431734,5935,4258,170,49,32,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-21,6835,72,439842,5955,4695,167,47,33,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-22,6842,75,452441,5958,4935,162,47,31,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-23,6850,76,466659,5966,5045,152,46,29,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-24,6867,79,482370,5978,5136,139,42,28,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-25,6885,81,494257,5993,5373,129,43,28,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-26,6904,84,506449,6008,5541,115,43,25,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-27,6911,84,517063,6013,5588,113,44,27,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-28,6923,85,530679,6020,5630,110,43,27,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-29,6936,90,544410,6031,5670,94,38,26,25459470,1,"Australia",NA,NA,"99999999",NA
2020-04-30,6944,92,563641,6037,5717,89,34,22,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-01,6957,94,588868,6050,5747,83,29,21,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-02,6972,94,611583,6063,5796,79,28,21,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-03,6990,96,633107,6081,5817,75,28,20,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-04,7014,96,650214,6104,5863,70,28,20,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-05,7040,98,664756,6128,5890,66,27,20,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-06,7064,98,688656,6152,5979,62,27,18,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-07,7086,98,722549,6172,6038,58,23,17,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-08,7104,98,757250,6189,6084,56,21,16,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-09,7118,98,795456,6203,6137,51,19,15,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-10,7130,98,827872,6215,6166,43,18,15,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-11,7137,98,855119,6222,6182,49,16,14,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-12,7157,98,877927,6241,6233,47,16,15,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-13,7168,99,909025,6252,6274,50,17,14,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-14,7183,99,943299,6266,6299,51,18,13,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-15,7214,99,983816,6296,6336,47,18,13,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-16,7231,99,1015652,6311,6366,49,16,12,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-17,7239,99,1042126,6319,6369,50,16,12,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-18,7248,100,1062034,6328,6396,45,12,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-19,7256,100,1085870,6336,6415,47,11,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-20,7267,101,1111567,6347,6445,44,9,7,25459470,1,"Australia",NA,NA,"99999999",NA
2020-05-21,7269,101,1137684,6349,6472,41,9,7,25459470,1,"Australia",NA,NA,"99999999",NA
