"COVID_Data_Hub.date","COVID_Data_Hub.confirmed","COVID_Data_Hub.deaths","COVID_Data_Hub.tests","COVID_Data_Hub.positives","COVID_Data_Hub.recovered","COVID_Data_Hub.hosp","COVID_Data_Hub.icu","COVID_Data_Hub.vent","COVID_Data_Hub.population","COVID_Data_Hub.administrative_area_level","COVID_Data_Hub.administrative_area_level_1","COVID_Data_Hub.administrative_area_level_2","COVID_Data_Hub.administrative_area_level_3","COVID_Data_Hub.id"
2020-03-28,3640,14,208035,3640,223,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-29,3984,16,223514,3984,225,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-30,4250,18,231168,4250,291,0,0,0,25459470,1,"Australia",NA,NA,"99999999"
2020-03-31,4561,19,242924,4561,345,32,6,0,25459470,1,"Australia",NA,NA,"99999999"
2020-04-01,4864,22,256953,4864,418,400,76,33,25459470,1,"Australia",NA,NA,"99999999"
2020-04-02,5137,24,266897,5137,572,415,81,32,25459470,1,"Australia",NA,NA,"99999999"
2020-04-03,5362,28,275372,5362,635,410,86,32,25459470,1,"Australia",NA,NA,"99999999"
2020-04-04,5552,30,284891,5552,686,460,92,33,25459470,1,"Australia",NA,NA,"99999999"
2020-04-05,5693,35,297144,5693,788,460,96,33,25459470,1,"Australia",NA,NA,"99999999"
2020-04-06,5799,41,302663,5799,849,458,96,35,25459470,1,"Australia",NA,NA,"99999999"
2020-04-07,5918,48,310700,5918,2549,305,93,37,25459470,1,"Australia",NA,NA,"99999999"
2020-04-08,6023,50,319368,6023,2815,263,87,36,25459470,1,"Australia",NA,NA,"99999999"
2020-04-09,6108,51,330134,6108,2989,262,81,36,25459470,1,"Australia",NA,NA,"99999999"
2020-04-10,6214,54,338346,6214,3142,236,74,38,25459470,1,"Australia",NA,NA,"99999999"
2020-04-11,6302,56,347847,6302,3266,240,80,38,25459470,1,"Australia",NA,NA,"99999999"
2020-04-12,6324,59,353941,6324,3338,239,81,35,25459470,1,"Australia",NA,NA,"99999999"
2020-04-13,6365,61,362136,6365,3494,227,79,46,25459470,1,"Australia",NA,NA,"99999999"
2020-04-14,6414,62,366493,6414,3598,230,80,44,25459470,1,"Australia",NA,NA,"99999999"
2020-04-15,6637,63,371377,6637,3688,214,73,42,25459470,1,"Australia",NA,NA,"99999999"
2020-04-16,6667,63,380003,6667,3747,201,67,38,25459470,1,"Australia",NA,NA,"99999999"
2020-04-17,6714,65,391530,6714,3819,192,60,38,25459470,1,"Australia",NA,NA,"99999999"
2020-04-18,6756,69,406510,6756,4163,184,56,34,25459470,1,"Australia",NA,NA,"99999999"
2020-04-19,6800,71,420996,6800,4230,178,48,33,25459470,1,"Australia",NA,NA,"99999999"
2020-04-20,6813,71,431734,6813,4258,170,49,32,25459470,1,"Australia",NA,NA,"99999999"
2020-04-21,6835,72,439842,6835,4695,167,47,33,25459470,1,"Australia",NA,NA,"99999999"
2020-04-22,6842,74,452441,6842,4935,162,47,31,25459470,1,"Australia",NA,NA,"99999999"
2020-04-23,6850,76,466659,6850,5045,152,46,29,25459470,1,"Australia",NA,NA,"99999999"
2020-04-24,6867,79,482370,6867,5136,139,42,28,25459470,1,"Australia",NA,NA,"99999999"
2020-04-25,6885,81,494257,6885,5373,129,43,28,25459470,1,"Australia",NA,NA,"99999999"
2020-04-26,6904,83,506449,6904,5541,115,43,25,25459470,1,"Australia",NA,NA,"99999999"
2020-04-27,6911,83,517063,6911,5588,113,44,27,25459470,1,"Australia",NA,NA,"99999999"
2020-04-28,6923,88,530679,6923,5630,110,43,27,25459470,1,"Australia",NA,NA,"99999999"
2020-04-29,6936,90,544410,6936,5670,94,38,26,25459470,1,"Australia",NA,NA,"99999999"
2020-04-30,6944,92,563641,6944,5717,89,34,22,25459470,1,"Australia",NA,NA,"99999999"
2020-05-01,6957,93,588868,6957,5747,83,29,21,25459470,1,"Australia",NA,NA,"99999999"
2020-05-02,6972,93,611583,6972,5796,79,28,21,25459470,1,"Australia",NA,NA,"99999999"
2020-05-03,6990,95,633107,6990,5817,75,28,20,25459470,1,"Australia",NA,NA,"99999999"
2020-05-04,7014,96,650214,7014,5863,70,28,20,25459470,1,"Australia",NA,NA,"99999999"
